"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
51	33	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+2 su(3)+7(g2+su(2))"	51	237	0	1	0	0	0	0	0	0	2
51	33	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+2 su(3)+8(g2+su(2))"	51	228	0	2	0	0	0	0	0	0	2
51	34	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+2 su(3)+7(g2+su(2))"	51	237	0	1	0	0	0	0	0	0	2
51	34	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+2 su(3)+8(g2+su(2))"	51	228	0	2	0	0	0	0	0	0	2
51	34	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))+so(7)+2 su(2)"	52	234	1	1	0	0	0	0	0	0	2
51	35	"3 e8+e7'+e6+4 f4+2 su(3)+7(g2+su(2))"	"3 e8+e7'+e6+4 f4+2 su(3)+8(g2+su(2))"	51	256	1	1	0	0	0	0	0	0	2
51	36	"3 e8+2 e7'+4 f4+8(g2+su(2))"	"3 e8+2 e7'+4 f4+8(g2+su(2))+so(7)+2 su(2)"	52	234	1	1	0	0	0	0	0	0	2
51	38	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))+so(7)+2 su(2)"	52	234	1	1	0	0	0	0	0	0	2
51	41	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+su(3)+8(g2+su(2))"	51	236	0	1	0	0	0	0	0	0	2
51	44	"4 e8+3 f4+so(8)+su(3)+7(g2+su(2))"	"4 e8+3 f4+so(8)+8(g2+su(2))"	56	231	1	0	0	0	0	0	0	0	2
51	45	"3 e8+e7+4 f4+so(8)+su(3)+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+4 f4+so(8)+8(g2+su(2))+so(7)+2 su(2)"	56	150	1	0	0	0	0	0	1	0	2
51	46	"3 e8+e7+e7'+4 f4+su(3)+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+e7+e7'+4 f4+8(g2+su(2))+so(7)+2 su(2)"	58	206	1	0	0	0	0	0	0	0	3
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+2 e6+4 f4+so(8)+4 su(3)+6(g2+su(2))"	51	257	0	0	1	0	0	0	0	0	3
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+2 e6+5 f4+4 su(3)+6(g2+su(2))"	51	233	0	0	0	1	0	0	0	0	2
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+2 e6+5 f4+5 su(3)+6(g2+su(2))"	51	225	0	1	0	1	0	0	0	0	2
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+2 e6+5 f4+so(8)+4 su(3)+6(g2+su(2))"	52	205	0	0	1	1	0	0	0	0	2
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+3 e6+4 f4+4 su(3)+6(g2+su(2))"	51	207	0	0	0	0	1	0	0	0	2
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+3 e6+4 f4+5 su(3)+6(g2+su(2))"	52	199	0	1	0	0	1	0	0	0	2
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+3 e6+4 f4+so(8)+4 su(3)+6(g2+su(2))"	53	179	0	0	1	0	1	0	0	0	2
51	47	"3 e8+2 e6+4 f4+4 su(3)+6(g2+su(2))"	"3 e8+3 e6+5 f4+4 su(3)+6(g2+su(2))"	54	155	0	0	0	1	1	0	0	0	2
51	53	"3 e8+2 e7+4 f4+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+4 f4+7(g2+su(2))+2(so(7)+2 su(2))"	57	176	1	1	0	0	0	0	0	0	2
51	54	"3 e8+e7'+e6+4 f4+2 su(3)+7(g2+su(2))"	"3 e8+e7'+e6+4 f4+2 su(3)+8(g2+su(2))"	51	256	0	1	0	0	0	0	0	0	2
51	55	"3 e8+2 e7'+4 f4+8(g2+su(2))"	"3 e8+2 e7'+4 f4+9(g2+su(2))"	51	236	0	1	0	0	0	0	0	0	2
51	56	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+su(3)+8(g2+su(2))"	51	236	0	1	0	0	0	0	0	0	2
51	58	"3 e8+e7+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+e6+4 f4+su(3)+8(g2+su(2))"	51	236	0	1	0	0	0	0	0	0	2
51	60	"4 e8+3 f4+so(8)+su(3)+7(g2+su(2))"	"4 e8+3 f4+so(8)+8(g2+su(2))"	56	231	1	0	0	0	0	0	0	0	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"7 e7+e7'+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	51	248	0	0	0	0	0	1	1	0	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	51	238	0	0	0	0	0	0	0	1	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+2 f4+so(8)+4(g2+su(2))+5(so(7)+2 su(2))"	52	210	0	0	1	0	0	0	0	1	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+2 f4+su(3)+4(g2+su(2))+5(so(7)+2 su(2))"	51	230	0	1	0	0	0	0	0	1	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+3 f4+4(g2+su(2))+5(so(7)+2 su(2))"	53	186	0	0	0	1	0	0	0	1	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+e6+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	54	160	0	0	0	0	1	0	0	1	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+e7'+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	55	133	0	0	0	0	0	1	0	1	2
51	61	"6 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	"e8+7 e7+2 f4+4(g2+su(2))+5(so(7)+2 su(2))"	56	105	0	0	0	0	0	0	1	1	2
51	67	"7 e7+e6+8(so(7)+2 su(2))"	"8 e7+e6+su(3)+8(so(7)+2 su(2))"	51	241	0	1	0	0	0	0	1	0	2
51	69	"7 e7+f4+2(g2+su(2))+6(so(7)+2 su(2))"	"e8+7 e7+f4+2(g2+su(2))+7(so(7)+2 su(2))"	57	153	1	1	0	0	0	0	0	1	2
51	69	"7 e7+f4+2(g2+su(2))+6(so(7)+2 su(2))"	"e8+7 e7+f4+3(g2+su(2))+6(so(7)+2 su(2))"	54	155	0	1	0	0	0	0	0	1	2
51	91	"9 e6+2 f4+10 su(3)+2(g2+su(2))"	"e8+10 e6+2 f4+10 su(3)+2(g2+su(2))"	51	249	0	0	0	0	1	0	0	1	2
51	91	"9 e6+2 f4+10 su(3)+2(g2+su(2))"	"e8+e7'+9 e6+2 f4+10 su(3)+2(g2+su(2))"	52	222	0	0	0	0	0	1	0	1	2
51	91	"9 e6+2 f4+10 su(3)+2(g2+su(2))"	"e8+e7+9 e6+2 f4+10 su(3)+2(g2+su(2))"	53	194	0	0	0	0	0	0	1	1	2
51	96	"6 e7+e7'+f4+2(g2+su(2))+7(so(7)+2 su(2))"	"6 e7+2 e7'+e6+f4+2(g2+su(2))+7(so(7)+2 su(2))"	51	246	0	0	0	0	1	1	0	0	2
51	96	"6 e7+e7'+f4+2(g2+su(2))+7(so(7)+2 su(2))"	"7 e7+2 e7'+f4+2(g2+su(2))+7(so(7)+2 su(2))"	53	191	0	0	0	0	0	1	1	0	2
51	96	"6 e7+e7'+f4+2(g2+su(2))+7(so(7)+2 su(2))"	"7 e7+e7'+2 f4+2(g2+su(2))+7(so(7)+2 su(2))"	51	244	0	0	0	1	0	0	1	0	2
51	96	"6 e7+e7'+f4+2(g2+su(2))+7(so(7)+2 su(2))"	"7 e7+e7'+e6+f4+2(g2+su(2))+7(so(7)+2 su(2))"	52	218	0	0	0	0	1	0	1	0	2
